time,theta,theta_dot
0.0,0.1,0.0
0.01,0.10029697138619129,0.05940817278960863
0.02,0.10118873149464025,0.11898677541218788
0.03,0.10267785630148317,0.17891025946924333
0.04,0.10476867057644257,0.2393540117534775
0.05,0.10746725962429986,0.30049483213498007
0.06,0.11078148580420956,0.3625114112129139
0.07,0.1147210098233543,0.42558480747493604
0.08,0.11929731679797781,0.4898989235208715
0.09,0.12452374706923795,0.55564098066507
0.1,0.13041553175299508,0.6230019909265273
0.11,0.13698983299092005,0.6921772250386753
0.12,0.14426578885440156,0.7633666746513257
0.13,0.1522645628317719,0.8367755063431624
0.14,0.16100939780233425,0.9126145043997507
0.15,0.1705256743663889,0.9911004985221556
0.16,0.18084097335755706,1.0724567716951654
0.17,0.19198514231061622,1.1569134423390894
0.18,0.20399036559297726,1.2447078135694
0.19,0.2168912378287573,1.3360846808650553
0.2,0.23072484014874226,1.4312965876668713
0.21,0.24553081868464904,1.5306040163562014
0.22,0.26135146458888614,1.6342754996628885
0.23,0.2782317946979652,1.7425876347789744
0.24,0.29621963176491295,1.8558249792685215
0.25,0.31536568295912254,1.9742798042216552
0.26,0.3357236150663009,2.0982516759623553
0.27,0.35735012451136994,2.2280468329498597
0.28,0.38030499996791967,2.3639773192879314
0.29,0.4046511749034698,2.5063598304658705
0.3,0.4304547669347791,2.655514220615352
0.31,0.4577851003264685,2.811761613728098
0.32,0.48671470735475236,2.9754220540397776
0.33,0.5173193035728502,3.1468116233099472
0.34,0.5496777312545061,3.3262389452683103
0.35000000000000003,0.5838718644588421,3.5140009904193024
0.36,0.6199864682597501,3.7103780882092092
0.37,0.6581090037283615,3.9156280489505044
0.38,0.6983293692679253,4.129979295771303
0.39,0.7407395679070878,4.353622908373412
0.4,0.7854332892034955,4.586703486990659
0.41000000000000003,0.8325053935543597,4.829308758406661
0.42,0.8820512860328702,5.081457868307812
0.43,0.9341661664703622,5.343088338001537
0.44,0.9889441425102115,5.6140417112345995
0.45,1.04647719292356,5.894047981195786
0.46,1.1068539697785524,6.182708971318958
0.47000000000000003,1.1701584302963473,6.47948094824006
0.48,1.2364682926269772,6.783656872217842
0.49,1.3058533145568099,7.094348838855253
0.5,1.3783734005195383,7.410471432960878
0.51,1.454076550380074,7.730726894439172
0.52,1.5329966733665341,8.053593176554068
0.53,1.6151513021802213,8.377316143200309
